programming_language,year,number_of_views
python,2009,89292
unspecified,2009,47855
perl,2009,17328
java,2009,12898
c,2009,1437
r,2009,1401
r,2010,64465
unspecified,2010,41034
python,2010,32403
perl,2010,24324
matlab,2010,7118
bash,2010,6396
shell,2010,2881
java,2010,2354
javascript,2010,487
c++,2010,393
python,2011,89218
unspecified,2011,43945
r,2011,20087
perl,2011,15973
c++,2011,7472
matlab,2011,5864
bash,2011,5631
javascript,2011,4105
java,2011,3579
c,2011,2224
ruby,2011,958
unspecified,2012,193833
python,2012,170861
r,2012,94358
perl,2012,37645
bash,2012,26787
shell,2012,11584
c,2012,7015
matlab,2012,4051
java,2012,2394
r,2013,205882
python,2013,173505
unspecified,2013,107079
perl,2013,38843
java,2013,4699
bash,2013,3190
javascript,2013,3051
c,2013,2249
ruby,2013,2160
shell,2013,1035
c++,2013,409
matlab,2013,329
python,2014,290218
r,2014,204989
unspecified,2014,89338
perl,2014,44671
c++,2014,12042
java,2014,9947
matlab,2014,4733
javascript,2014,4585
bash,2014,4437
c,2014,943
shell,2014,781
ruby,2014,154
python,2015,222292
r,2015,206898
unspecified,2015,76058
shell,2015,31426
bash,2015,8894
perl,2015,7372
javascript,2015,5559
java,2015,2410
c++,2015,952
julia,2015,514
matlab,2015,315
ruby,2015,166
c,2015,77
python,2016,142636
r,2016,136519
unspecified,2016,78482
bash,2016,20096
ruby,2016,16181
perl,2016,13108
shell,2016,9318
matlab,2016,3436
java,2016,2795
c++,2016,795
javascript,2016,671
python,2017,459284
r,2017,133205
unspecified,2017,76152
perl,2017,14238
bash,2017,12018
shell,2017,5482
c++,2017,3149
matlab,2017,2864
java,2017,1460
c,2017,821
javascript,2017,352
ruby,2017,76
python,2018,330125
r,2018,103325
unspecified,2018,79853
bash,2018,15646
perl,2018,6081
shell,2018,5203
java,2018,3771
c++,2018,1805
javascript,2018,1198
c,2018,154
matlab,2018,62
python,2019,145884
r,2019,110668
unspecified,2019,70246
bash,2019,7031
java,2019,3043
julia,2019,2704
shell,2019,2461
perl,2019,739
c++,2019,582
javascript,2019,419
matlab,2019,313
python,2020,113908
r,2020,103166
unspecified,2020,79752
java,2020,12184
javascript,2020,10163
bash,2020,9332
shell,2020,3749
c++,2020,1457
c,2020,1122
perl,2020,682
matlab,2020,430
julia,2020,176
python,2021,97094
unspecified,2021,88744
r,2021,56526
bash,2021,16106
perl,2021,3748
shell,2021,3294
javascript,2021,2664
c++,2021,2384
matlab,2021,161
c,2021,129
java,2021,124
julia,2021,51
python,2022,94162
r,2022,87042
unspecified,2022,83088
bash,2022,19364
shell,2022,3409
perl,2022,1476
java,2022,1474
matlab,2022,843
c++,2022,688
c,2022,443
julia,2022,309
r,2023,63462
unspecified,2023,43028
python,2023,31248
bash,2023,16353
shell,2023,3285
perl,2023,858
julia,2023,264
java,2023,54
javascript,2023,47
unspecified,2024,14918
r,2024,5634
python,2024,5129
bash,2024,993
shell,2024,285
perl,2024,240
javascript,2024,157
python,2025,2125
unspecified,2025,1789
r,2025,917
java,2025,118
c++,2025,111
bash,2025,81
javascript,2025,22
